"ML#","% Interests In Common Elmts","Sewer Type","Sold Price","Spa Location","Special Assessments YN","Stories","Stories In Building","Style","Subdivision","Tennis Courts YN","Termite Contract YN","Transaction Type","Water Type","Waterfront","Year Built"
"CN162539","","City","$139,900","","","1.0","","","Pine Acres","","","","Public","",""
"CN162528","","City","$81,000","","","1.0","","","PINEBROOK ESTATES","","","","Public","",""
"CN162702","","City","$199,500","","","1.0","","","Tanglewood","","","","Public","","1986"
"CN162830","","City","$260,000","","","1.0","","","N/A","","","","Public","",""
"CN162809","","City","$372,500","","","2.0","","","n/a","","","","Public","Water Front","2011"
"CN163032","","City","$173,000","","","1.0","","","Tres Bon","","","","Public","","2014"
"CN163066","","City","$135,000","","","1.0","","","Curtis Park","","","","Public","","1970"
"CN163317","","","$186,500","","","1.0","","","Rural Ball","","","","Public","","2015"
"CN163322","","City","$130,000","","","1.0","","","PINEBROOK ESTATES","","","","Public","",""
"CN163413","","City","$337,500","","","1.0","","","Carriage Oaks","","","","Public","","2016"
"CN163533","","City","$199,500","","","1.0","","","Ball","","","","Public","",""
"CN163704","","City","$183,500","","","1.0","","","Wanda Trail","","","","Public","","1973"
"CN163848","","Septic","$143,000","","","1.0","","","N/A","","","","Public","",""
"BR2016010101","","City","$15,000","","","1.0","","Traditional","Fairfields East","","","","","",""
"BR2016012871","","City","$185,000","","","1.0","","Traditional","Goodwood Estates","","","","Public","",""
"BR2016016545","","City","$325,000","","","1.0","","Traditional","Oak Hills Place","","","","Public","",""
"BR2016017699","","City","$245,000","","","1.0","","Traditional","Sutters Court","","","","Public","","1996"
"BR2016017748","","City","$31,000","","","1.0","","Traditional","Monticello","","","","Public","",""
"BR2016018061","","City","$37,000","","","1.0","","Ranch","Goodwood Homesites","","","","Public","","1959"
"BR2017000751","","City","$1","","","2.0","","French Country","Highland Shadows","","","","Public","","2013"
"BR2017004445","","City","$480,000","","","1.5","","Acadian","Plantation Trace","","","","Public","","2001"
"BR2017005024","","City","$85,000","","","1.0","","Traditional","Greenwood","","","","Public","",""
"BR2017005199","","","$6,500","","","1.0","","Traditional","Levera","","","","Public","",""
"BR2017005940","","City","$24,000","","","1.0","","Traditional","East Glen","","","","","",""
"BR2017009423","","City","$180,000","","","1.0","","Cottage","Hundred Oaks Park","","","","Public","",""
"BR2017009432","","City","$230,000","","","1.0","","Traditional","Springlake At Bluebonnet Highlands","","","","Public","",""
"BR2017009498","","","$5,000","","","1.0","","Traditional","Stevendale Heights","","","","Public","",""
"BR2017010407","","City","$153,000","","","1.0","","Cottage","Roseland Terrace","","","","Public","",""
"BR2017012999","","","$56,500","","","1.0","","Traditional","Carmel Acres","","","","Public","",""
"BR2017013226","","City","$189,000","","","1.0","","Ranch","Old Jefferson Subd","","","","Public","",""
"BR2017013947","","","$260,000","","","1.0","","French Country","Azalea Lakes","","","","Public","","1995"
"BR2017017159","","City","$120,000","","","1.0","","Cottage","Afton Oaks","","","","Public","",""
"BR2017018445","","City","$87,500","","","1.0","","Traditional","Sherwood Forest Place","","","","Public","",""
"BR2017018770","","City","$569,855","","","1.0","","Other","Long Farm","","","","Public","","2017"
"BR2018002480","","City","$100,000","","","1.0","","Traditional","Sherwood Forest South","","","","Public","",""
"BR2018009060","","City","$46,000","","","1.0","","Traditional","Rushmore","","","","Public","",""
"BR2018012523","","City","$630,000","","","2.0","","Traditional","Round Oak","","","","Public","Water Front","1998"
"BR2018014460","","City","$74,000","","","1.0","","Traditional","Glen Oaks","","","","Public","",""
"BR2018020243","","City","$200,000","","","1.0","","Traditional","Park Forest","","","","Public","",""
"BR2019003068","","","$155,000","","","1.0","","Traditional","North Broadmoor","","","","","","1961"
"BR2019003200","","City","$104,000","","","1.0","","Traditional","Shenandoah Estates","","","","","",""
"BR2019003894","","City","$109,000","","","1.0","","Ranch","Goodwood Homesites","","","","Public","",""
"BR2019004267","","City","$66,000","","","1.0","","Traditional","Monticello","","","","Public","",""
"BR2019006227","","City","$122,500","","","1.0","","Traditional","Shenandoah North","","","","Public","",""
"BR2019009120","","City","$322,000","","","1.5","","Other","Berkley Hill","","","","Public","","1982"
"BR2019010088","","City","$18,000","","","2.0","","Traditional","Smiley Heights","","","","","",""
"BR2019011835","","City","$27,000","","","1.0","","Traditional","Forest Heights Park South","","","","Public","",""
"BR2019012017","","City","$205,900","","","1.0","","Traditional","Hickey Town","","","","Public","",""
"BR2019013115","","City","$145,825","","","1.0","","Traditional","Magnolia Woods","","","","Public","",""
"BR2019014554","","City","$15,000","","","1.0","","Traditional","Fairfields North","","","","Public","",""
"BR2019015156","","City","$187,000","","","1.0","","Traditional","Monticello","","","","Public","",""
"BR2019017388","","City","$65,000","","","1.0","","Acadian","Perkins Village","","","","Public","","1979"
"BR2019018283","","City","$20,000","","","1.0","","Traditional","Harding Heights","","","","Public","",""
"BR2020000817","","City","$10,000","","","1.0","","Traditional","Fairfield","","","","Public","",""
"BR2020001131","","City","$15,000","","","1.0","","Traditional","Fairfields Subd","","","","Public","",""
"BR2020002012","","City","$45,000","","","1.0","","Other","Cypress Heights","","","","Public","",""
"BR2020007721","","City","$114,000","","","1.0","","Traditional","Barkley Place","","","","Public","",""
"BR2020011619","","City","$121,500","","","1.0","","Traditional","Green Acres","","","","Public","",""
"BR2020013776","","City","$110,000","","","1.0","","Traditional","Sherwood Forest Place","","","","Public","",""
"BR2020016858","","City","$55,500","","","1.0","","Traditional","Engleswood North","","","","Public","",""
"BR2020018455","","City","$152,000","","","1.0","","Traditional","Hermitage","","","","Public","",""
"BR2021000602","","City","$31,000","","","1.0","","Contemporary","Abramson","","","","Public","",""
"BR2021000608","","City","$88,000","","","1.0","","Contemporary","Sarasota Place","","","","Public","",""
"BR2021000610","","City","$181,000","","","1.0","","Traditional","Shenandoah Estates","","","","Public","",""
"BR2021000613","","City","$94,000","","","1.0","","Traditional","Sherwood Oak Park","","","","Public","",""
"BR2021003406","","City","$299,900","","","1.0","","Traditional","Plantation Trace","","","","Public","","1977"
"BR2021006445","","City","$115,000","","","1.0","","Traditional","Lakeview Estates","","","","Public","",""
"BR2021008092","","City","$172,000","","","3.0","","Traditional","Burbank Estates Cond","","","","Public","",""
"BR2021008340","","City","$165,000","","","1.0","","Traditional","Perkins South","","","","Public","",""
"BR2021009413","","City","$225,000","","","1.0","","Traditional","Sherwood Forest","","","","Public","","1966"
"BR2021010588","","City","$121,000","","","1.0","","Traditional","Morning Glen","","","","Public","",""
"BR2021011794","","City","$1,275,000","","","2.0","","Traditional","Bocage Subd","","","","Public","","1964"
"BR2021012445","","City","$75,000","","","1.0","","Other","Nesser Gardens Condos","","","","Public","",""
"BR2021013432","","City","$300,000","","","2.0","","Traditional","Sherwood Forest","","","","Public","","1983"
"BR2021013434","","City","$24,000","","","1.0","","Cottage","Rosalie Park","","","","Public","",""
"BR2021013435","","City","$50,000","","","1.0","","Traditional","Beechwood","","","","Public","",""
"BR2021013440","","City","$330,000","","","2.0","","Acadian","Hunters Trace","","","","Public","","2020"
"BR2021013444","","City","$133,000","","","1.0","","Traditional","Willow View","","","","Public","","2007"
"BR2021013460","","","$13,500","","","1.0","","Traditional","University Place","","","","Public","",""
"BR2021013461","","City","$307,500","","","1.0","","Traditional","Shenandoah Estates","","","","Public","","1981"
"BR2021013475","","City","$213,000","","","1.0","","Other","Monte Vista","","","","Public","","1940"
"BR2021013482","","City","$345,000","","","1.0","","Acadian","Oak Hills Place","","","","Public","",""
"BR2021013483","","","$165,000","","","1.0","","Cottage","Beauregard Town","","","","Public","",""
"BR2021013488","","City","$145,000","","","1.0","","Traditional","Park Forest South","","","","Public","",""
"BR2021013495","","City","$271,905","","","1.0","","Acadian","Kenilworth Crossing","","","","Public","","2021"
"BR2021013496","","City","$185,000","","","2.0","","Traditional","Stumberg Ridge","","","","Public","","1984"
"BR2021013501","","City","$173,000","","","2.0","","Other","Arlington Plantation Twhm","","","","Public","","2005"
"BR2021013515","","City","$402,000","","","1.5","","Traditional","University Gardens","","","","Public","",""
"BR2021013516","","City","$270,000","","","1.0","","Traditional","Springlake At Bluebonnet Highlands","","","","Public","","2004"
"BR2021013518","","City","$605,000","","","2.0","","Traditional","Stanford Place","","","","Public","",""
"BR2021013520","","City","$354,900","","","1.0","","Acadian","Springlake At Bluebonnet Highlands","","","","Public","","2012"
"BR2021013522","","","$585,000","","","1.0","","French Country","Country Club Crossing","","","","Public","","1992"
"BR2021013538","","City","$215,000","","","1.0","","Ranch","Mirabeau Gardens","","","","Public","",""
"BR2021013539","","","$256,000","","","1.0","","Traditional","Lakes At Stonegate The","","","","Public","","2017"
"BR2021013544","","City","$112,000","","","1.0","","Traditional","Eastgate","","","","Public","",""
"BR2021013547","","City","$575,000","","","1.0","","Cottage","Goodwood Estates","","","","Public","",""
"BR2021013548","","City","$255,000","","","1.0","","Traditional","Greenwood","","","","Public","",""
"BR2021013552","","City","$108,500","","","1.0","","Cottage","Brandon Hollow","","","","Public","",""
"BR2021013553","","City","$231,900","","","1.0","","Contemporary","Park at Jefferson, The","","","","Public","","2019"
"BR2021013561","","City","$301,111","","","1.0","","Traditional","Oak Ridge Estates","","","","Public","Water Front","2017"
"BR2021013562","","","$179,400","","","1.5","","Traditional","Sherwood Estates","","","","Public","",""
"BR2021013563","","City","$223,000","","","2.0","","Traditional","Springbrook","","","","Public","","2007"
"BR2021013565","","City","$400,000","","","1.0","","Traditional","East Highland Park","","","","Public","","1999"
"BR2021013569","","City","$297,000","","","1.0","","Traditional","Springlake At Bluebonnet Highlands","","","","Public","","2010"
"BR2021013571","","City","$142,000","","","1.0","","Acadian","Highland Creek","","","","Public","","1984"
"BR2021013578","","City","$42,000","","","1.0","","Traditional","South Baton Rouge","","","","Public","",""
"BR2021013582","","City","$1,350,000","","","2.0","","Colonial","Province At Moss Side The","","","","Public","","2006"
"BR2021013587","","City","$920,000","","","2.0","","Other","Plantation Acres","","","","Public","Water Front","2018"
"BR2021013599","","City","$488,000","","","1.0","","Traditional","Deer Lake","","","","Public","",""
"BR2021013602","","City","$117,000","","","2.0","","Contemporary","Cypress Point","","","","Public","","1983"
"BR2021013603","","City","$268,000","","","1.0","","Traditional","Magnolia Pointe","","","","Public","",""
"BR2021013605","","City","$210,000","","","1.0","","Traditional","Sherwood Forest West","","","","Public","",""
"BR2021013606","","City","$165,000","","","1.0","","Traditional","Fairwood Village","","","","Public","","2006"
"BR2021013607","","City","$625,000","","","2.0","","Traditional","Krista Lane","","","","Public","","1995"
"BR2021013608","","City","$191,000","","","1.0","","Creole Cottage","Beauregard Town","","","","Public","","1824"
"BR2021013611","","City","$272,900","","","1.0","","Contemporary","Pelican Lakes","","","","Public","","2015"
"BR2021013612","","City","$250,000","","","1.0","","Traditional","Forest Creek","","","","Public","",""
"BR2021013614","","City","$222,500","","","1.0","","Ranch","Jefferson Terrace Subd","","","","Public","","1975"
"BR2021013616","","City","$412,000","","","2.0","","Traditional","Shadowbrook Lakes","","","","Public","Water Front","2010"
"BR2021013620","","City","$140,000","","","1.0","","Other","Reserve At Cedar Lodge","","","","Public","","2004"
"BR2021013633","","City","$529,000","","","1.0","","Traditional","Lafitte Hill","","","","Public","","1981"
"BR2021013634","","City","$140,000","","","1.0","","Traditional","Greenwell Forest","","","","Public","",""
"BR2021013640","","","$220,000","","","1.0","","Traditional","Sherwood Forest Park","","","","Public","",""
"BR2021013650","","City","$58,000","","","1.0","","Other","Airport","","","","Public","",""
"BR2021013655","","City","$170,000","","","1.0","","Traditional","Sherwood Forest Oaks","","","","Public","",""
"BR2021013657","","City","$163,000","","","1.0","","Traditional","Old Jefferson Subd","","","","Public","",""
"BR2021013660","","City","$175,000","","","1.0","","Traditional","Park Forest","","","","Public","",""
"BR2021013665","","City","$135,000","","","1.0","","Other","Gracie","","","","Public","",""
"BR2021013666","","City","$235,000","","","1.0","","Traditional","Hundred Oaks","","","","Public","",""
"BR2021013673","","City","$228,000","","","1.0","","Ranch","Central","","","","Public","",""
"BR2021013682","","City","$526,000","","","1.0","","Cottage","University Gardens","","","","Public","",""
"BR2021013703","","City","$97,000","","","1.0","","Cottage","Foster Heights","","","","Public","","1950"
"BR2021013711","","City","$82,500","","","1.0","","Traditional","Merrydale Place","","","","Public","","1976"
"BR2021013719","","City","$200,000","","","1.0","","Traditional","Old Jefferson Subd","","","","Public","","1977"
"BR2021013721","","City","$1,595,000","","","2.0","","Acadian","University Club Plantation","","","","Public","Water Front","2018"
"BR2021013730","","City","$160,000","","","1.0","","Traditional","Goodwood Homesites","","","","Public","",""
"BR2021013753","","City","$387,500","","","1.0","","French Country","Lakes At Jamestown The","","","","Public","Water Access Community","2009"
"BR2021013754","","City","$400,000","","","2.0","","Acadian","Concord Estates","","","","Public","",""
"BR2021013757","","City","$219,000","","","1.0","","Traditional","Hickory Ridge","","","","Public","",""
"BR2021013766","","City","$403,000","","","1.0","","Traditional","Southdowns","","","","Public","",""
"BR2021013767","","City","$222,000","","","1.0","","Traditional","Avalon","","","","Public","",""
"BR2021013768","","City","$154,000","","","1.0","","Ranch","Antioch Villa","","","","Public","",""
"BR2021013771","","City","$169,000","","","1.0","","Traditional","Highland Club The","","","","Public","",""
"BR2021013778","","","$185,000","","","1.0","","Traditional","Sagefield","","","","Public","","2000"
"BR2021013781","","City","$995,000","","","1.5","","Traditional","Meadow Lea","","","","Public","","1949"
"BR2021013785","","City","$192,500","","","1.0","","Traditional","Westhaven","","","","Public","","2000"
"BR2021013788","","City","$212,500","","","1.0","","Traditional","Sherwood Forest","","","","Public","","1966"
"BR2021013793","","","$285,000","","","1.0","","Traditional","Shenandoah Estates","","","","Public","",""
"BR2021013794","","City","$364,500","","","1.0","","Traditional","Lake At White Oak The","","","","Public","","1992"
"BR2021013805","","City","$151,000","","","2.0","","Other","Arlington Plantation Twhm","","","","Public","",""
"BR2021013806","","City","$179,000","","","1.0","","Traditional","Wickland Terrace","","","","Public","",""
"BR2021013809","","City","$155,000","","","2.0","","Traditional","Lakes At Bluebonnet The","","","","Public","",""
"BR2021013813","","City","$750,000","","","1.0","","French Country","Settlement At Willow Grove","","","","Public","","2014"
"BR2021013815","","City","$270,000","","","1.0","","French Country","Stumberg Villas","","","","Public","","2016"
"BR2021013816","","","$112,000","","","1.0","","Other","Brandon Hollow Ii","","","","Public","",""
"BR2021013824","","City","$89,400","","","1.0","","Traditional","Highlander Condominiums","","","","Public","",""
"BR2021013828","","","$85,000","","","1.0","","Other","Live Oak Circle Cond","","","","Public","",""
"BR2021013835","","City","$201,000","","","1.0","","Ranch","Quail Ridge","","","","Public","",""
"BR2021013839","","City","$380,000","","","1.0","","French Country","Jefferson Highlands","","","","Public","",""
"BR2021013842","","City","$190,000","","","1.0","","Traditional","College Drive Heights","","","","Public","",""
"BR2021013861","","City","$209,000","","","1.0","","Acadian","Old Jefferson Subd","","","","Public","",""
"BR2021013873","","City","$145,000","","","2.0","","Traditional","Bluebonnet Condominiums","","","","Public","","1983"
"BR2021013879","","City","$110,000","","","1.0","","Traditional","Mayfair Park East","","","","Public","","1977"
"BR2021013882","","City","$295,000","","","1.0","","Traditional","Springlake At Bluebonnet Highlands","","","","Public","Water Front","1993"
"BR2021013893","","City","$267,000","","","1.0","","Traditional","Estates At Worthington Lk","","","","Public","",""
"BR2021013894","","City","$170,000","","","1.0","","Traditional","Goodwood Estates","","","","Public","",""
"BR2021013899","","City","$235,000","","","1.0","","Traditional","Azalea Lakes","","","","Public","Water Front",""
"BR2021013904","","City","$305,000","","","1.0","","Traditional","Morgan Place","","","","Public","","1978"
"BR2021013908","","City","$665,000","","","1.5","","Traditional","Audubon Square","","","","","",""
"BR2021013909","","City","$240,000","","","1.0","","Ranch","Jefferson Terrace Subd","","","","Public","","1967"
"BR2021013915","","City","$150,000","","","1.0","","Traditional","Chatsworth Crest","","","","Public","",""
"BR2021013918","","City","$274,900","","","2.0","","Acadian","Woodlands The","","","","Public","","1979"
"BR2021013919","","City","$368,200","","","1.0","","Traditional","Kleinert Terrace","","","","Public","",""
"BR2021013922","","City","$306,000","","","1.0","","Traditional","Kenilworth Subd","","","","Public","",""
"BR2021013923","","City","$194,900","","","1.0","","Traditional","Old Jefferson Subd","","","","Public","",""
"BR2021013929","","City","$195,000","","","1.0","","Ranch","Lake Forest Park","","","","Public","Water Front",""
"BR2021013935","","City","$159,900","","","3.0","","Colonial","Arlington Trace","","","","Public","","2007"
"BR2021013936","","City","$250,000","","","1.0","","Traditional","White Oak Landing","","","","Public","","1978"
"BR2021013937","","City","$385,000","","","2.0","","Cottage","Roseland Terrace","","","","Public","",""
"BR2021013948","","City","$623,500","","","2.0","","Traditional","Woodchase","","","","Public","",""
"BR2021013950","","City","$297,000","","","1.0","","French Country","Jefferson Ridge","","","","Public","","2006"
"BR2021013962","","City","$223,000","","","1.0","","Traditional","Village St George","","","","Public","",""
"BR2021013969","","","$224,000","","","1.0","","Traditional","Beau Bois At Worthington Lake","","","","Public","Water Access Community",""
"BR2021013970","","City","$581,100","","","2.0","","Traditional","Perkins Lane","","","","Public","","2013"
"BR2021013987","","City","$23,000","","","1.0","","Cottage","Fairfields North","","","","Public","",""
"BR2021013990","","City","$203,000","","","1.0","","Ranch","Morning Glen","","","","Public","","1978"
"BR2021013998","","City","$289,900","","","1.0","","Traditional","Shenandoah Estates","","","","Public","",""
"BR2021014002","","","$107,000","","","1.0","","Traditional","Victoria Gardens","","","","Public","",""
"BR2021014007","","City","$260,000","","","1.0","","Cottage","Capital Heights","","","","Public","","0"
"BR2021014023","","City","$403,000","","","1.0","","French Country","Lake At White Oak The","","","","Public","",""
"BR2021014029","","City","$385,500","","","1.0","","Acadian","Lake At White Oak The","","","","Public","","1992"
"BR2021014042","","","$407,500","","","1.0","","Other","Jefferson Highlands","","","","Public","",""
"BR2021014043","","City","$244,900","","","1.0","","Traditional","Cypress Point","","","","Public","","2004"
"BR2021014060","","City","$542,500","","","1.5","","Acadian","Lake At White Oak The","","","","Public","",""
"BR2021014063","","City","$161,250","","","1.0","","Traditional","Jefferson Terrace Subd","","","","Public","",""
"BR2021014067","","City","$256,000","","","1.5","","Traditional","Shire The","","","","Public","","1983"
"BR2021014068","","City","$291,000","","","1.0","","Traditional","Springlake At Bluebonnet Highlands","","","","Public","","2013"
"BR2021014073","","City","$200,000","","","1.0","","Ranch","Park Forest East","","","","Public","","1978"
"BR2021014074","","City","$47,000","","","1.0","","Traditional","Nesser Gardens Condos","","","","Public","",""
"BR2021014077","","City","$150,000","","","2.0","","Ranch","Cedarcrest Bend","","","","Public","","1984"
"BR2021014078","","","$184,000","","","1.0","","Traditional","Country Ridge","","","","Public","",""
"BR2021014085","","City","$170,000","","","1.0","","Traditional","Sherwood Forest South","","","","Public","","1967"
"BR2021014086","","City","$334,000","","","1.0","","Traditional","Jefferson Ridge","","","","Public","","2006"
"BR2021014087","","City","$371,000","","","1.0","","Traditional","Lakes At Jamestown The","","","","Public","Water Access Community","2012"
"BR2021014088","","City","$225,000","","","1.0","","Traditional","Park Forest","","","","Public","",""
"BR2021014095","","City","$212,900","","","1.0","","Traditional","Fairwood West","","","","Public","","1984"
"BR2021014097","","City","$215,000","","","1.0","","Acadian","Old Jefferson Subd","","","","Public","","1978"
"BR2021014111","","","$279,900","","","1.0","","Traditional","Quail Ridge","","","","Public","","2004"
"BR2021014150","","City","$213,000","","","1.0","","Other","Terre Haute","","","","","","1975"
"BR2021014153","","City","$767,000","","","2.0","","Tudor","Settlement At Willow Grove","","","","Public","","2015"
"BR2021014158","","City","$249,900","","","1.0","","Traditional","Parkview Oaks South","","","","Public","",""
"BR2021014160","","City","$310,000","","","1.0","","Other","Vignes Lake","","","","Public","","1998"
"BR2021014161","","City","$170,000","","","1.0","","Traditional","Highland Creek","","","","Public","","1988"
"BR2021014178","","City","$275,000","","","1.0","","Ranch","Pelican Lakes","","","","Public","","2018"
"BR2021014179","","City","$176,000","","","1.0","","Traditional","Perkins Village","","","","Public","","1978"
"BR2021014182","","City","$225,000","","","1.0","","Ranch","Broadmoor","","","","Public","",""
"BR2021014190","","City","$322,000","","","1.0","","Cottage","Roseland Terrace","","","","Public","",""
"BR2021014191","","City","$515,000","","","1.0","","Traditional","Pollard Estates","","","","Public","","1960"
"BR2021014194","","City","$165,000","","","1.0","","Traditional","Park Forest East","","","","Public","",""
"BR2021014200","","City","$358,750","","","2.0","","Traditional","Bellacosa","","","","","","2021"
"BR2021014204","","City","$405,000","","","1.0","","Other","Lake At White Oak The","","","","Public","Water Access Community",""
"BR2021014206","","City","$199,000","","","1.0","","Traditional","Country Club Estates","","","","Public","",""
"BR2021014207","","City","$1,135,000","","","2.0","","Traditional","University Club Plantation","","","","Public","","2016"
"BR2021014216","","City","$270,000","","","1.0","","Traditional","Jefferson Terrace Subd","","","","Public","","1975"
"BR2021014218","","City","$185,000","","","1.0","","Traditional","Sherwood Forest West","","","","Public","",""
"BR2021014225","","City","$265,000","","","1.0","","Traditional","Parkview Oaks South","","","","Public","",""
"BR2021014232","","City","$167,000","","","1.0","","Traditional","Meadow Park","","","","Public","","1977"
"BR2021014234","","City","$155,000","","","1.5","","Traditional","La Maison Ridge Condos","","","","Public","",""
"BR2021014238","","","$115,000","","","1.0","","Cottage","North Highlands Addition","","","","Public","","1968"
"BR2021014239","","City","$245,000","","","1.0","","Cottage","Hundred Oaks Park","","","","Public","",""
"BR2021014240","","City","$333,500","","","1.0","","French Country","Highland Club The","","","","Public","","2004"
"BR2021014241","","City","$261,855","","","2.0","","Other","Cottages at University Villas, The","","","","Public","","2021"
"BR2021014243","","City","$261,855","","","2.0","","Other","Cottages at University Villas, The","","","","Public","","2021"
"BR2021014245","","City","$240,000","","","1.0","","Cottage","Capital Heights","","","","Public","",""
"BR2021014253","","City","$115,000","","","1.0","","Contemporary","Brightside Park","","","","Public","",""
"BR2021014265","","City","$450,000","","","1.0","","Traditional","Tara Subd","","","","Public","",""
"BR2021014269","","City","$225,000","","","1.0","","Traditional","Nicholson Lakes","","","","Public","","2012"
"BR2021014271","","City","$95,000","","","2.0","","Traditional","Parklyn Chase","","","","Public","","1985"
"BR2021014275","","City","$985,000","","","2.0","","French Country","Country Club Of La","","","","Public","","1989"
"BR2021014276","","City","$305,000","","","1.0","","Traditional","Lakemont Place","","","","Public","","1973"
"BR2021014289","","City","$323,000","","","1.0","","Contemporary","Oak Pointe","","","","Public","","2021"
"BR2021014299","","City","$295,000","","","1.5","","French Country","Mallard Crossing","","","","Public","","2010"
"BR2021014306","","City","$128,500","","","1.0","","Traditional","Jefferson Woods Townhome","","","","Public","",""
"BR2021014310","","City","$283,000","","","2.0","","Traditional","Lakes At Stonegate The","","","","Public","","2016"
"BR2021014311","","City","$300,000","","","1.0","","Traditional","Jefferson Ridge","","","","Public","","2006"
"BR2021014321","","City","$172,000","","","1.0","","Traditional","Summerwood Villas","","","","Public","Water View","2006"
"BR2021014325","","City","$165,000","","","1.0","","Ranch","Parkland Terrace","","","","Public","",""
"BR2021014329","","City","$535,000","","","1.0","","Other","University Club Plantation","","","","Public","","2017"
"BR2021014331","","City","$227,500","","","1.0","","Ranch","Jefferson Terrace Subd","","","","Public","","1964"
"BR2021014336","","City","$292,500","","","1.0","","French Country","Springlake At Bluebonnet Highlands","","","","Public","","2002"
"BR2021014346","","City","$188,000","","","1.0","","Cottage","Cottages At Southfork","","","","Public","","2016"
"BR2021014347","","City","$188,000","","","1.0","","Other","O'Neal Place","","","","Public","",""
"BR2021014348","","City","$193,500","","","1.0","","Traditional","Rushmore","","","","Public","",""
"BR2021014351","","City","$195,000","","","1.0","","Traditional","Meadow Bend","","","","Public","","1986"
"BR2021014358","","City","$335,500","","","1.0","","Contemporary","Hillsdale","","","","Public","","1950"
"BR2021014360","","City","$150,000","","","1.0","","Traditional","Village St George","","","","Public","","1960"
"BR2021014361","","City","$305,000","","","1.0","","Traditional","Shenandoah Estates","","","","Public","","1985"
"BR2021014364","","","$204,900","","","1.0","","Cottage","High Point","","","","Public","",""
"BR2021014365","","City","$210,000","","","1.0","","Traditional","Jefferson Heights","","","","Public","","2009"
"BR2021014366","","","$289,900","","","1.0","","Ranch","Kenilworth Subd","","","","Public","",""
"BR2021014372","","City","$365,000","","","1.0","","Traditional","Pollard Estates","","","","Public","",""
"BR2021014373","","City","$650,000","","","2.0","","Other","College Town","","","","Public","","1977"
"BR2021014374","","City","$200,000","","","1.0","","Ranch","Magnolia Woods","","","","Public","","1956"
"BR2021014380","","City","$120,000","","","2.0","","Traditional","Longwood Court","","","","Public","","1983"
"BR2021014386","","City","$495,000","","","1.0","","French Country","University Club Plantation","","","","Public","","2005"
"BR2021014393","","City","$265,000","","","1.0","","Traditional","Pelican Lakes","","","","Public","","2018"
"BR2021014394","","City","$165,000","","","1.0","","Traditional","Forest Heights North","","","","Public","",""
"BR2021014395","","City","$175,000","","","1.0","","Ranch","Southmoor","","","","Public","",""
"BR2021014400","","City","$152,000","","","1.0","","Traditional","Strohmberg Townhouses","","","","Public","",""
"BR2021014408","","City","$265,000","","","1.0","","Traditional","Stumberg Place","","","","Public","","1995"
"BR2021014414","","","$440,000","","","2.0","","Acadian","Rural Tract (No Subd)","","","","Public","",""
"BR2021014424","","City","$334,750","","","1.0","","Traditional","Bellacosa","","","","Public","","2021"
"BR2021014426","","City","$174,900","","","1.0","","Traditional","Lakepark Garden Homes","","","","Public","","1992"
"BR2021014429","","City","$275,000","","","1.0","","Traditional","Springlake At Bluebonnet Highlands","","","","Public","Water Front","2009"
"BR2021014431","","City","$171,000","","","1.0","","Traditional","Summerwood Villas","","","","Public","","2006"
"BR2021014432","","City","$158,000","","","2.0","","Traditional","Lake Beau Pre Townhomes","","","","Public","",""
"BR2021014446","","","$805,000","","","2.0","","Traditional","Woodridge Subd","","","","Public","","2014"
"BR2021014454","","City","$31,000","","","1.0","","Traditional","University Place","","","","Public","",""
"BR2021014458","","City","$200,000","","","2.0","","Acadian","Highland Creek","","","","Public","","1982"
"BR2021014460","","City","$143,000","","","1.0","","Traditional","Cedar Glen","","","","Public","",""
"BR2021014466","","City","$210,000","","","1.0","","Traditional","Pin Oak","","","","Public","",""
"BR2021014477","","City","$95,000","","","2.0","","Traditional","Acadian Village Townhomes","","","","Public","",""
"BR2021014491","","","$215,000","","","1.0","","Traditional","Village Charmant","","","","Public","","2007"
"BR2021014492","","City","$285,040","","","1.0","","Acadian","Kenilworth Crossing","","","","Public","","2021"
"BR2021014495","","City","$130,000","","","1.0","","Traditional","Cottages At Blue Heron Lakes The","","","","Public","",""
"BR2021014501","","City","$218,000","","","2.0","","Traditional","Stonelake Condominums","","","","Public","",""
"BR2021014514","","City","$470,000","","","1.0","","Traditional","Audubon Parc","","","","Public","Water View","2021"
"BR2021014519","","City","$776,175","","","2.0","","Other","Settlement At Willow Grove","","","","Public","","2016"
"BR2021014524","","City","$899,464","","","2.0","","Traditional","Preserve At Harveston The","","","","Public","Water Access Community","2021"
"BR2021014530","","City","$90,000","","","1.0","","Cottage","Northdale Addition","","","","Public","",""
"BR2021014531","","City","$312,000","","","1.0","","Traditional","Fairhill At Bluebonnet Hi","","","","Public","","1999"
"BR2021014533","","City","$525,000","","","1.0","","Contemporary","Long Farm Village","","","","Public","","2017"
"BR2021014539","","City","$269,705","","","1.0","","Other","Summer Gardens","","","","Public","Water Front","2021"
"BR2021014557","","City","$221,000","","","2.0","","Contemporary","Villas at Red Stick","","","","Public","","2019"
"BR2021014562","","City","$239,900","","","1.0","","Traditional","Sherwood Forest West","","","","Public","",""
"BR2021014566","","City","$189,000","","","1.0","","Ranch","Homewood","","","","Public","","1967"
"BR2021014572","","City","$150,000","","","1.0","","Traditional","Highland Village Ii Condos","","","","Public","Water Access Community","1998"
"BR2021014574","","","$79,000","","","1.0","","Contemporary","Parklyn Chase","","","","Public","",""
